location,date,num_sequences_total
Kosovo,2021-07-12,3
Kosovo,2021-07-26,44
Kosovo,2021-08-09,166
Kuwait,2021-04-19,3
Kuwait,2021-05-31,7
Kuwait,2021-06-14,32
Kuwait,2021-06-28,40
Kuwait,2021-07-12,66
Kuwait,2021-08-09,8
Latvia,2021-04-05,458
Latvia,2021-04-19,750
Latvia,2021-05-03,725
Latvia,2021-05-17,509
Latvia,2021-05-31,517
Latvia,2021-06-14,65
Latvia,2021-06-28,71
Latvia,2021-07-12,108
Latvia,2021-07-26,137
Latvia,2021-08-09,149
Lebanon,2021-04-05,117
Lebanon,2021-04-19,77
Lebanon,2021-05-03,91
Lebanon,2021-05-17,11
Lebanon,2021-06-28,4
Lebanon,2021-07-12,52
Lebanon,2021-07-26,25
Liechtenstein,2021-04-05,1
Liechtenstein,2021-04-19,16
Liechtenstein,2021-05-03,12
Liechtenstein,2021-05-17,7
Liechtenstein,2021-05-31,2
Liechtenstein,2021-06-14,2
Liechtenstein,2021-06-28,2
Liechtenstein,2021-07-12,2
Liechtenstein,2021-07-26,4
Liechtenstein,2021-08-09,2
Lithuania,2021-04-05,1624
Lithuania,2021-04-19,1710
Lithuania,2021-05-03,1619
Lithuania,2021-05-17,1422
Lithuania,2021-05-31,1484
Lithuania,2021-06-14,664
Lithuania,2021-06-28,211
Lithuania,2021-07-12,236
Lithuania,2021-07-26,993
Lithuania,2021-08-09,1516
Luxembourg,2021-04-05,948
Luxembourg,2021-04-19,1043
Luxembourg,2021-05-03,1073
Luxembourg,2021-05-17,744
Luxembourg,2021-05-31,392
Luxembourg,2021-06-14,240
Luxembourg,2021-06-28,130
Luxembourg,2021-07-12,944
Luxembourg,2021-07-26,699
Luxembourg,2021-08-09,459
Madagascar,2021-04-05,52
Madagascar,2021-04-19,113
Madagascar,2021-05-03,16
Madagascar,2021-05-17,15
Madagascar,2021-05-31,10
Madagascar,2021-07-12,17
Madagascar,2021-07-26,23
Malawi,2021-04-05,6
Malawi,2021-04-19,40
Malawi,2021-05-03,33
Malawi,2021-05-17,4
Malawi,2021-05-31,24
Malawi,2021-06-14,50
Malawi,2021-06-28,72
Malawi,2021-07-12,76
Malawi,2021-07-26,33
Malawi,2021-08-09,38
Malaysia,2021-04-05,110
Malaysia,2021-04-19,208
Malaysia,2021-05-03,125
Malaysia,2021-05-17,125
Malaysia,2021-05-31,73
Malaysia,2021-06-14,72
Malaysia,2021-06-28,104
Malaysia,2021-07-12,134
Malaysia,2021-07-26,212
Malaysia,2021-08-09,452
Maldives,2021-04-05,3
Maldives,2021-05-03,5
Maldives,2021-05-17,4
Maldives,2021-05-31,5
Maldives,2021-06-14,1
Maldives,2021-06-28,7
Maldives,2021-07-12,3
Maldives,2021-07-26,17
Maldives,2021-08-09,24
Malta,2021-04-05,38
Malta,2021-04-19,32
Malta,2021-05-03,44
Malta,2021-05-17,32
Malta,2021-05-31,15
Malta,2021-06-14,11
Malta,2021-06-28,9
Malta,2021-07-12,60
Malta,2021-07-26,48
Malta,2021-08-09,19
Mauritius,2021-04-05,10
Mauritius,2021-04-19,3
Mauritius,2021-05-03,8
Mauritius,2021-05-17,40
Mauritius,2021-05-31,8
Mauritius,2021-06-14,13
Mauritius,2021-06-28,18
Mauritius,2021-07-12,23
Mauritius,2021-07-26,21
Mauritius,2021-08-09,10
Mexico,2021-04-05,1011
Mexico,2021-04-19,1263
Mexico,2021-05-03,1390
Mexico,2021-05-17,1589
Mexico,2021-05-31,1724
Mexico,2021-06-14,2222
Mexico,2021-06-28,1889
Mexico,2021-07-12,2121
Mexico,2021-07-26,2443
Mexico,2021-08-09,3024
Moldova,2021-04-05,5
Moldova,2021-04-19,2
Moldova,2021-05-03,4
Moldova,2021-05-17,12
Moldova,2021-05-31,1
Moldova,2021-06-28,6
Moldova,2021-07-12,7
Monaco,2021-04-19,2
Monaco,2021-05-31,1
Monaco,2021-06-14,11
Monaco,2021-06-28,20
Monaco,2021-07-12,1
Monaco,2021-07-26,14
Monaco,2021-08-09,14
Mongolia,2021-04-19,2
Mongolia,2021-05-17,3
Mongolia,2021-06-28,16
Mongolia,2021-07-12,34
Mongolia,2021-07-26,17
Mongolia,2021-08-09,52
Montenegro,2021-06-14,17
Montenegro,2021-06-28,18
Montenegro,2021-07-12,20
Montenegro,2021-07-26,30
Montenegro,2021-08-09,72
Morocco,2021-04-05,18
Morocco,2021-04-19,20
Morocco,2021-05-03,5
Morocco,2021-05-31,1
Morocco,2021-06-14,1
Morocco,2021-06-28,7
Morocco,2021-07-12,9
Morocco,2021-07-26,31
Mozambique,2021-04-05,11
Mozambique,2021-04-19,9
Mozambique,2021-05-03,20
Mozambique,2021-05-17,9
Mozambique,2021-05-31,12
Mozambique,2021-06-14,8
Mozambique,2021-06-28,114
Mozambique,2021-07-12,109
Mozambique,2021-07-26,64
Mozambique,2021-08-09,24
Nepal,2021-04-19,4
Nepal,2021-05-03,17
Nepal,2021-05-17,30
Nepal,2021-05-31,18
Nepal,2021-06-14,39
Nepal,2021-06-28,14
Nepal,2021-07-12,25
Nepal,2021-07-26,15
Nepal,2021-08-09,22
Netherlands,2021-04-05,3860
Netherlands,2021-04-19,3602
Netherlands,2021-05-03,3934
Netherlands,2021-05-17,3490
Netherlands,2021-05-31,2969
Netherlands,2021-06-14,2635
Netherlands,2021-06-28,1888
Netherlands,2021-07-12,3583
Netherlands,2021-07-26,4845
Netherlands,2021-08-09,3079
New Zealand,2021-04-05,29
New Zealand,2021-04-19,26
New Zealand,2021-05-03,19
New Zealand,2021-05-17,7
New Zealand,2021-05-31,8
New Zealand,2021-06-14,14
New Zealand,2021-06-28,16
New Zealand,2021-07-12,12
New Zealand,2021-07-26,49
New Zealand,2021-08-09,31
Nigeria,2021-04-05,18
Nigeria,2021-04-19,7
Nigeria,2021-05-03,23
Nigeria,2021-05-17,8
Nigeria,2021-05-31,6
Nigeria,2021-06-14,7
Nigeria,2021-06-28,14
Nigeria,2021-07-12,43
Nigeria,2021-07-26,94
Nigeria,2021-08-09,498
North Macedonia,2021-04-05,36
North Macedonia,2021-04-19,103
North Macedonia,2021-05-03,15
North Macedonia,2021-05-17,30
North Macedonia,2021-05-31,17
North Macedonia,2021-06-14,12
North Macedonia,2021-06-28,4
North Macedonia,2021-07-12,7
North Macedonia,2021-07-26,22
North Macedonia,2021-08-09,12
Norway,2021-04-05,1328
Norway,2021-04-19,1847
